citing_oid	citing_date	nd_cite	nw_cite	class	fix	context
18832	2011-12-13	2008 ND 126	756 N.W.2d 344	OTHER		rett’s conviction for gross sexual imposition was affirmed in State v. Everett, 2008 ND 126, 756 N.W.2d 344. The dism
18832	2011-12-13	2010 ND 226	795 N.W.2d 37	DB_NO_PARALLEL		t applications for post-conviction relief were also affirmed. Everett v. State, 2010 ND 226, 795 N.W.2d 37; Everett
15794	2012-02-17	2010 ND 160	787 N.W.2d 738	DB_NO_PARALLEL		have standing to assert defenses on behalf of third parties. *See In re J.D.F.,*2010 ND 160, ¶ 14, 787 N.W.2d 738 (a par
15801	2012-02-17	2005 ND 81	704 N.W.2d 286	DB_NO_PARALLEL		datory under N.D.C.C. § 39-20-03.1(3)); *Aker v. North Dakota Dep’t of Transp.,*2005 ND 81, ¶ 1, 704 N.W.2d 286 (distric
15816	2012-03-15	2009 ND 169	776 N.W.2d 232	DB_NO_PARALLEL		istory, which has resulted in frequent litigation. *See, e.g., State v. Witzke,*2009 ND 169, 776 N.W.2d 232; *Gonzale
15816	2012-03-15	2007 ND 34	729 N.W.2d 334	DB_NO_PARALLEL		*See, e.g., State v. Witzke,*2009 ND 169, 776 N.W.2d 232; *Gonzales v. Witzke,*2007 ND 34, 729 N.W.2d 334; *Witzke
15816	2012-03-15	2007 ND 34	729 N.W.2d 334	DB_NO_PARALLEL		n 2009 a jury found him guilty of violating the order. *See Gonzales v. Witzke,*2007 ND 34, ¶ 1, 729 N.W.2d 334; *State 
15816	2012-03-15	2009 ND 169	776 N.W.2d 232	DB_NO_PARALLEL		er. *See Gonzales v. Witzke,*2007 ND 34, ¶ 1, 729 N.W.2d 334; *State v. Witzke,*2009 ND 169, ¶¶ 1-2, 776 N.W.2d 232. On 
15816	2012-03-15	2009 ND 169	776 N.W.2d 232	DB_NO_PARALLEL		which the \*596 State charged him with violating in 2009. *See State v. Witzke,*2009 ND 169, 776 N.W.2d 232. [¶ 13]
15829	2012-04-10	2011 ND 166	802 N.W.2d 158	ND_DIGIT_FLIP	2011 ND 166 -> 2011 ND 160	of review, we do not reweigh evidence or reassess witness credibility. *Miller,*2011 ND 166, ¶ 12, 802 N.W.2d 158. We co
18924	2012-04-10	2007 ND 94	734 N.W.2d 342	OTHER		ffirmed Holbach’s conviction for criminal trespass in City of Minot v. Holbach, 2007 ND 94, 734 N.W.2d 342, and summ
18924	2012-04-10	2010 ND 209	795 N.W.2d 37	DB_NO_PARALLEL		denial of his first application for post-conviction relief in Holbach v. State, 2010 ND 209, 795 N.W.2d 37. Holbach’
18856	2012-06-07	2012 ND 42	809 N.W.2d 833	DB_NO_PARALLEL		il proceeding in Grand Forks County, North Dakota. See Hangsleben v. Halverson, 2012 ND 42, 809 N.W.2d 833 (summaril
15862	2012-06-13	2010 ND 161	787 N.W.2d 727	DB_NO_PARALLEL		not immunize the obligor from paying spousal support. *See Snyder v. Snyder,* 2010 ND 161, ¶¶ 9-11, 787 N.W.2d 727; *Som
15862	2012-06-13	2010 ND 162	787 N.W.2d 746	DB_NO_PARALLEL		are reviewed under the abuse of discretion standard. *See Murphy v. Rossow,* 2010 ND 162, ¶ 9, 787 N.W.2d 746; *Cartie
15879	2012-07-12	2008 ND 178	671 N.W.2d 250	OTHER		86 to aid in interpretation of our corresponding criminal provisions. *Beciraj,*2008 ND 178, ¶ 15, 671 N.W.2d 250. [¶ 13
18862	2012-07-12	2011 ND 16	798 N.W.2d 878	ND_DIGIT_FLIP	2011 ND 16 -> 2011 ND 13	marily dismissed. This Court affirmed the dismissal on appeal. Foreid v. State, 2011 ND 16, 798 N.W.2d 878. [¶2] On
15908	2012-08-16	2002 ND 18	642 N.W.2d 532	OTHER		, this Court summarily affirmed the district court’s denial in *Burke v. State,*2002 ND 18, 642 N.W.2d 532. In 2005,
15920	2012-08-30	2010 ND 161	787 N.W.2d 727	DB_NO_PARALLEL		urity for future support payments in a divorce judgment. *See Snyder v. Snyder,*2010 ND 161, ¶ 13, 787 N.W.2d 727; *Wold
15920	2012-08-30	2010 ND 161	787 N.W.2d 727	DB_NO_PARALLEL		other respects, the judgment is affirmed. . Darren Seay did not cite *Snyder,*2010 ND 161, 787 N.W.2d 727, in which
15920	2012-08-30	2010 ND 161	787 N.W.2d 727	DB_NO_PARALLEL		50,000 of life insurance is unquestionably one of those circumstances. *Snyder,*2010 ND 161, ¶ 18, 787 N.W.2d 727 (empha
18872	2012-09-25	2011 ND 221	806 N.W.2d 438	OTHER		ns for post-conviction relief on four separate occasions. See Everett v. State, 2011 ND 221, 806 N.W.2d 438; Everett
18872	2012-09-25	2010 ND 226	795 N.W.2d 37	DB_NO_PARALLEL		occasions. See Everett v. State, 2011 ND 221, 806 N.W.2d 438; Everett v. State, 2010 ND 226, 795 N.W.2d 37; Everett
15939	2012-10-23	2010 ND 152	787 N.W.2d 716	DB_NO_PARALLEL		an appeal from a separately appealable judgment or order. *See State v. Hammer,*2010 ND 152, 787 N.W.2d 716 (appeal f
